Freq.	V(isensa)
2.53151318794059e+001	2.13309325312763e+000,-2.46444341804701e-003
2.54912125463855e+001	2.13309322716901e+000,-2.48158496071173e-003
2.56685179512583e+001	2.13309320084803e+000,-2.49884573187942e-003
2.58470566127501e+001	2.13309317415961e+000,-2.51622656084269e-003
2.60268371088389e+001	2.13309314709865e+000,-2.53372828266189e-003
2.62078680771675e+001	2.13309311965992e+000,-2.55135173820546e-003
2.63901582154582e+001	2.13309309183817e+000,-2.56909777419048e-003
2.65737162819305e+001	2.13309306362804e+000,-2.58696724322324e-003
2.67585510957225e+001	2.13309303502411e+000,-2.60496100384039e-003
2.69446715373141e+001	2.13309300602089e+000,-2.62307992054953e-003
2.71320865489537e+001	2.13309297661279e+000,-2.64132486387187e-003
2.73208051350882e+001	2.13309294679418e+000,-2.65969671038263e-003
2.75108363627952e+001	2.13309291655931e+000,-2.67819634275454e-003
2.77021893622188e+001	2.13309288590238e+000,-2.69682464979923e-003
2.78948733270084e+001	2.13309285481749e+000,-2.71558252651048e-003
2.80888975147603e+001	2.13309282329868e+000,-2.73447087410721e-003
2.82842712474622e+001	2.13309279133988e+000,-2.75349060007624e-003
2.84810039119418e+001	2.13309275893495e+000,-2.77264261821635e-003
2.86791049603169e+001	2.13309272607767e+000,-2.79192784868236e-003
2.88785839104503e+001	2.13309269276172e+000,-2.81134721802876e-003
2.90794503464066e+001	2.13309265898069e+000,-2.83090165925470e-003
2.92817139189129e+001	2.13309262472810e+000,-2.85059211184859e-003
2.94853843458224e+001	2.13309258999736e+000,-2.87041952183302e-003
2.96904714125813e+001	2.13309255478180e+000,-2.89038484181090e-003
2.98969849726991e+001	2.13309251907465e+000,-2.91048903101047e-003
3.01049349482217e+001	2.13309248286905e+000,-2.93073305533180e-003
3.03143313302083e+001	2.13309244615803e+000,-2.95111788739297e-003
3.05251841792116e+001	2.13309240893455e+000,-2.97164450657696e-003
3.07375036257606e+001	2.13309237119145e+000,-2.99231389907892e-003
3.09512998708482e+001	2.13309233292148e+000,-3.01312705795267e-003
3.11665831864204e+001	2.13309229411727e+000,-3.03408498315949e-003
3.13833639158704e+001	2.13309225477139e+000,-3.05518868161547e-003
3.16016524745355e+001	2.13309221487625e+000,-3.07643916724019e-003
3.18214593501972e+001	2.13309217442420e+000,-3.09783746100513e-003
3.20427951035853e+001	2.13309213340746e+000,-3.11938459098296e-003
3.22656703688855e+001	2.13309209181815e+000,-3.14108159239704e-003
3.24900958542498e+001	2.13309204964828e+000,-3.16292950767081e-003
3.27160823423117e+001	2.13309200688973e+000,-3.18492938647788e-003
3.29436406907034e+001	2.13309196353430e+000,-3.20708228579378e-003
3.31727818325781e+001	2.13309191957365e+000,-3.22938926994292e-003
3.34035167771352e+001	2.13309187499934e+000,-3.25185141065467e-003
3.36358566101490e+001	2.13309182980279e+000,-3.27446978711203e-003
3.38698124945015e+001	2.13309178397532e+000,-3.29724548600345e-003
3.41053956707187e+001	2.13309173750812e+000,-3.32017960157617e-003
3.43426174575106e+001	2.13309169039228e+000,-3.34327323568777e-003
3.45814892523151e+001	2.13309164261871e+000,-3.36652749785938e-003
3.48220225318454e+001	2.13309159417825e+000,-3.38994350532963e-003
3.50642288526419e+001	2.13309154506160e+000,-3.41352238310706e-003
3.53081198516267e+001	2.13309149525930e+000,-3.43726526402529e-003
3.55537072466633e+001	2.13309144476178e+000,-3.46117328879739e-003
3.58010028371194e+001	2.13309139355935e+000,-3.48524760606935e-003
3.60500185044337e+001	2.13309134164216e+000,-3.50948937247694e-003
3.63007662126869e+001	2.13309128900023e+000,-3.53389975270046e-003
3.65532580091765e+001	2.13309123562345e+000,-3.55847991952043e-003
3.68075060249955e+001	2.13309118150156e+000,-3.58323105387477e-003
3.70635224756154e+001	2.13309112662416e+000,-3.60815434491707e-003
3.73213196614728e+001	2.13309107098070e+000,-3.63325099006420e-003
3.75809099685610e+001	2.13309101456049e+000,-3.65852219506917e-003
3.78423058690244e+001	2.13309095735268e+000,-3.68396917406807e-003
3.81055199217581e+001	2.13309089934628e+000,-3.70959314964213e-003
3.83705647730111e+001	2.13309084053014e+000,-3.73539535287545e-003
3.86374531569944e+001	2.13309078089296e+000,-3.76137702341701e-003
3.89061978964920e+001	2.13309072042328e+000,-3.78753940952990e-003
3.91768119034777e+001	2.13309065910948e+000,-3.81388376816721e-003
3.94493081797350e+001	2.13309059693977e+000,-3.84041136502124e-003
3.97236998174820e+001	2.13309053390221e+000,-3.86712347458769e-003
4.00000000000006e+001	2.13309046998467e+000,-3.89402138022614e-003
4.02782220022694e+001	2.13309040517488e+000,-3.92110637422240e-003
