Freq.	a	b	gain
2.11404000000000e+003	(-4.60385428479998e+001dB,-8.84773438526980e+001°)	(-8.09994188104197e+001dB,-1.69667285158964e+002°)	(3.49609000000000e+001dB,8.11900000000000e+001°)
2.12874000000000e+003	(-4.60385348545867e+001dB,-8.84667543085368e+001°)	(-8.10790131867432e+001dB,-1.69683751536323e+002°)	(3.50405000000000e+001dB,8.12170000000000e+001°)
2.14355000000000e+003	(-4.60385265644778e+001dB,-8.84561647842278e+001°)	(-8.11589443391482e+001dB,-1.69699604232402e+002°)	(3.51204000000000e+001dB,8.12434000000000e+001°)
2.15846000000000e+003	(-4.60385169387311e+001dB,-8.84453227514625e+001°)	(-8.12392086499944e+001dB,-1.69714965702657e+002°)	(3.52007000000000e+001dB,8.12696000000000e+001°)
2.17347000000000e+003	(-4.60385249737952e+001dB,-8.84346153485088e+001°)	(-8.13198312506298e+001dB,-1.69729521755189e+002°)	(3.52813000000000e+001dB,8.12949000000000e+001°)
2.18859000000000e+003	(-4.60384617127989e+001dB,-8.84235876855952e+001°)	(-8.14007979180845e+001dB,-1.69743747358837e+002°)	(3.53623000000000e+001dB,8.13201000000000e+001°)
2.20381000000000e+003	(-4.60384679748259e+001dB,-8.84126048514109e+001°)	(-8.14821408890134e+001dB,-1.69757181529238e+002°)	(3.54437000000000e+001dB,8.13446000000000e+001°)
2.21914000000000e+003	(-4.60384731407718e+001dB,-8.84014383491195e+001°)	(-8.15638218154015e+001dB,-1.69770198366227e+002°)	(3.55253000000000e+001dB,8.13688000000000e+001°)
2.23457000000000e+003	(-4.60384265572032e+001dB,-8.83904651615791e+001°)	(-8.16459042462161e+001dB,-1.69782289078919e+002°)	(3.56075000000000e+001dB,8.13918000000000e+001°)
2.25012000000000e+003	(-4.60384655746979e+001dB,-8.83792233363944e+001°)	(-8.17283429570303e+001dB,-1.69793981413523e+002°)	(3.56899000000000e+001dB,8.14147000000000e+001°)
2.26577000000000e+003	(-4.60384699031025e+001dB,-8.83680912541589e+001°)	(-8.18111944694474e+001dB,-1.69804839841601e+002°)	(3.57727000000000e+001dB,8.14367000000000e+001°)
2.28153000000000e+003	(-4.60384024553243e+001dB,-8.83565476467516e+001°)	(-8.18944215011678e+001dB,-1.69815322551973e+002°)	(3.58560000000000e+001dB,8.14587000000000e+001°)
2.29740000000000e+003	(-4.60383525582698e+001dB,-8.83451156808925e+001°)	(-8.19780479384730e+001dB,-1.69824954009454e+002°)	(3.59397000000000e+001dB,8.14799000000000e+001°)
2.31338000000000e+003	(-4.60383542623572e+001dB,-8.83336164411540e+001°)	(-8.20620982551335e+001dB,-1.69834052622637e+002°)	(3.60237000000000e+001dB,8.15004000000000e+001°)
2.32947000000000e+003	(-4.60383552088083e+001dB,-8.83220253759199e+001°)	(-8.21465711135695e+001dB,-1.69842384835077e+002°)	(3.61082000000000e+001dB,8.15204000000000e+001°)
2.34567000000000e+003	(-4.60383205897289e+001dB,-8.83103492591873e+001°)	(-8.22314417686868e+001dB,-1.69850111801336e+002°)	(3.61931000000000e+001dB,8.15398000000000e+001°)
2.36199000000000e+003	(-4.60383200990772e+001dB,-8.82985975528352e+001°)	(-8.23167696927523e+001dB,-1.69857148482152e+002°)	(3.62785000000000e+001dB,8.15586000000000e+001°)
