Freq.	a	b	gain
4.40762e+003	(-4.60376e+001dB,-8.68253e+001°)	(-9.39692e+001dB,-1.60102e+002°)	(4.79315e+001dB,7.32769e+001°)
4.43828e+003	(-4.60376e+001dB,-8.68032e+001°)	(-9.41766e+001dB,-1.59796e+002°)	(4.81389e+001dB,7.29926e+001°)
4.46915e+003	(-4.60376e+001dB,-8.67810e+001°)	(-9.43884e+001dB,-1.59473e+002°)	(4.83507e+001dB,7.26921e+001°)
4.50023e+003	(-4.60377e+001dB,-8.67587e+001°)	(-9.46047e+001dB,-1.59133e+002°)	(4.85671e+001dB,7.23744e+001°)
4.53154e+003	(-4.60376e+001dB,-8.67360e+001°)	(-9.48258e+001dB,-1.58774e+002°)	(4.87882e+001dB,7.20384e+001°)
4.56305e+003	(-4.60376e+001dB,-8.67133e+001°)	(-9.50519e+001dB,-1.58396e+002°)	(4.90143e+001dB,7.16822e+001°)
4.59479e+003	(-4.60375e+001dB,-8.66903e+001°)	(-9.52831e+001dB,-1.57995e+002°)	(4.92456e+001dB,7.13048e+001°)
4.62675e+003	(-4.60375e+001dB,-8.66674e+001°)	(-9.55198e+001dB,-1.57571e+002°)	(4.94823e+001dB,7.09038e+001°)
4.65893e+003	(-4.60375e+001dB,-8.66443e+001°)	(-9.57620e+001dB,-1.57122e+002°)	(4.97246e+001dB,7.04781e+001°)
4.69134e+003	(-4.60374e+001dB,-8.66211e+001°)	(-9.60102e+001dB,-1.56646e+002°)	(4.99728e+001dB,7.00251e+001°)
4.72397e+003	(-4.60374e+001dB,-8.65974e+001°)	(-9.62647e+001dB,-1.56140e+002°)	(5.02273e+001dB,6.95431e+001°)
4.75683e+003	(-4.60374e+001dB,-8.65737e+001°)	(-9.65256e+001dB,-1.55603e+002°)	(5.04883e+001dB,6.90290e+001°)
4.78991e+003	(-4.60374e+001dB,-8.65499e+001°)	(-9.67934e+001dB,-1.55030e+002°)	(5.07560e+001dB,6.84799e+001°)
4.82323e+003	(-4.60374e+001dB,-8.65259e+001°)	(-9.70683e+001dB,-1.54419e+002°)	(5.10309e+001dB,6.78928e+001°)
4.85678e+003	(-4.60374e+001dB,-8.65018e+001°)	(-9.73506e+001dB,-1.53766e+002°)	(5.13132e+001dB,6.72642e+001°)
4.89056e+003	(-4.60373e+001dB,-8.64774e+001°)	(-9.76406e+001dB,-1.53068e+002°)	(5.16033e+001dB,6.65903e+001°)
4.92458e+003	(-4.60373e+001dB,-8.64528e+001°)	(-9.79388e+001dB,-1.52319e+002°)	(5.19015e+001dB,6.58665e+001°)
4.95883e+003	(-4.60373e+001dB,-8.64281e+001°)	(-9.82454e+001dB,-1.51516e+002°)	(5.22081e+001dB,6.50876e+001°)
4.99332e+003	(-4.60372e+001dB,-8.64034e+001°)	(-9.85608e+001dB,-1.50651e+002°)	(5.25236e+001dB,6.42476e+001°)
5.02805e+003	(-4.60373e+001dB,-8.63787e+001°)	(-9.88854e+001dB,-1.49719e+002°)	(5.28482e+001dB,6.33402e+001°)
5.06303e+003	(-4.60372e+001dB,-8.63535e+001°)	(-9.92197e+001dB,-1.48712e+002°)	(5.31825e+001dB,6.23585e+001°)
5.09824e+003	(-4.60372e+001dB,-8.63280e+001°)	(-9.95638e+001dB,-1.47622e+002°)	(5.35266e+001dB,6.12941e+001°)
5.13370e+003	(-4.60371e+001dB,-8.63024e+001°)	(-9.99181e+001dB,-1.46440e+002°)	(5.38810e+001dB,6.01372e+001°)
5.16941e+003	(-4.60371e+001dB,-8.62767e+001°)	(-1.00283e+002dB,-1.45153e+002°)	(5.42457e+001dB,5.88768e+001°)
5.20537e+003	(-4.60370e+001dB,-8.62507e+001°)	(-1.00658e+002dB,-1.43752e+002°)	(5.46208e+001dB,5.75013e+001°)
5.24157e+003	(-4.60370e+001dB,-8.62249e+001°)	(-1.01043e+002dB,-1.42221e+002°)	(5.50064e+001dB,5.59958e+001°)
5.27803e+003	(-4.60370e+001dB,-8.61990e+001°)	(-1.01439e+002dB,-1.40544e+002°)	(5.54023e+001dB,5.43449e+001°)
5.31474e+003	(-4.60370e+001dB,-8.61729e+001°)	(-1.01845e+002dB,-1.38704e+002°)	(5.58079e+001dB,5.25307e+001°)
5.35171e+003	(-4.60370e+001dB,-8.61463e+001°)	(-1.02260e+002dB,-1.36679e+002°)	(5.62227e+001dB,5.05330e+001°)
5.38893e+003	(-4.60369e+001dB,-8.61195e+001°)	(-1.02682e+002dB,-1.34449e+002°)	(5.66452e+001dB,4.83293e+001°)
5.42642e+003	(-4.60369e+001dB,-8.60927e+001°)	(-1.03110e+002dB,-1.31987e+002°)	(5.70734e+001dB,4.58946e+001°)
5.46416e+003	(-4.60369e+001dB,-8.60658e+001°)	(-1.03541e+002dB,-1.29268e+002°)	(5.75046e+001dB,4.32026e+001°)
5.50217e+003	(-4.60368e+001dB,-8.60391e+001°)	(-1.03972e+002dB,-1.26264e+002°)	(5.79349e+001dB,4.02253e+001°)
5.54044e+003	(-4.60368e+001dB,-8.60115e+001°)	(-1.04396e+002dB,-1.22948e+002°)	(5.83594e+001dB,3.69362e+001°)
5.57897e+003	(-4.60367e+001dB,-8.59836e+001°)	(-1.04808e+002dB,-1.19294e+002°)	(5.87714e+001dB,3.33105e+001°)
5.61778e+003	(-4.60368e+001dB,-8.59558e+001°)	(-1.05199e+002dB,-1.15285e+002°)	(5.91625e+001dB,2.93294e+001°)
5.65685e+003	(-4.60366e+001dB,-8.59277e+001°)	(-1.05559e+002dB,-1.10912e+002°)	(5.95228e+001dB,2.49845e+001°)
5.69620e+003	(-4.60365e+001dB,-8.58997e+001°)	(-1.05877e+002dB,-1.06182e+002°)	(5.98410e+001dB,2.02827e+001°)
5.73582e+003	(-4.60364e+001dB,-8.58710e+001°)	(-1.06141e+002dB,-1.01123e+002°)	(6.01048e+001dB,1.52521e+001°)
5.77572e+003	(-4.60364e+001dB,-8.58416e+001°)	(-1.06339e+002dB,-9.57859e+001°)	(6.03026e+001dB,9.94426e+000°)
5.81589e+003	(-4.60364e+001dB,-8.58122e+001°)	(-1.06461e+002dB,-9.02476e+001°)	(6.04244e+001dB,4.43538e+000°)
5.85634e+003	(-4.60363e+001dB,-8.57824e+001°)	(-1.06500e+002dB,-8.46051e+001°)	(6.04634e+001dB,-1.17731e+000°)
5.89708e+003	(-4.60363e+001dB,-8.57523e+001°)	(-1.06454e+002dB,-7.89668e+001°)	(6.04175e+001dB,-6.78545e+000°)
