Freq.	a	b	gain
1.81504e+003	(-4.60397e+001dB,-8.86930e+001°)	(-8.59114e+001dB,-1.02380e+002°)	(3.98717e+001dB,1.36872e+001°)
1.82766e+003	(-4.60397e+001dB,-8.86839e+001°)	(-8.59336e+001dB,-1.02420e+002°)	(3.98940e+001dB,1.37360e+001°)
1.84038e+003	(-4.60397e+001dB,-8.86747e+001°)	(-8.59562e+001dB,-1.02459e+002°)	(3.99165e+001dB,1.37843e+001°)
1.85318e+003	(-4.60397e+001dB,-8.86655e+001°)	(-8.59790e+001dB,-1.02497e+002°)	(3.99393e+001dB,1.38319e+001°)
1.86607e+003	(-4.60397e+001dB,-8.86562e+001°)	(-8.60021e+001dB,-1.02535e+002°)	(3.99624e+001dB,1.38790e+001°)
1.87905e+003	(-4.60397e+001dB,-8.86469e+001°)	(-8.60255e+001dB,-1.02572e+002°)	(3.99858e+001dB,1.39255e+001°)
1.89212e+003	(-4.60397e+001dB,-8.86375e+001°)	(-8.60491e+001dB,-1.02609e+002°)	(4.00094e+001dB,1.39713e+001°)
1.90528e+003	(-4.60397e+001dB,-8.86280e+001°)	(-8.60731e+001dB,-1.02644e+002°)	(4.00334e+001dB,1.40165e+001°)
1.91853e+003	(-4.60397e+001dB,-8.86184e+001°)	(-8.60973e+001dB,-1.02679e+002°)	(4.00576e+001dB,1.40609e+001°)
1.93187e+003	(-4.60397e+001dB,-8.86088e+001°)	(-8.61219e+001dB,-1.02714e+002°)	(4.00822e+001dB,1.41047e+001°)
1.94531e+003	(-4.60397e+001dB,-8.85992e+001°)	(-8.61467e+001dB,-1.02747e+002°)	(4.01070e+001dB,1.41477e+001°)
1.95884e+003	(-4.60397e+001dB,-8.85894e+001°)	(-8.61718e+001dB,-1.02779e+002°)	(4.01322e+001dB,1.41900e+001°)
1.97247e+003	(-4.60397e+001dB,-8.85796e+001°)	(-8.61973e+001dB,-1.02811e+002°)	(4.01576e+001dB,1.42315e+001°)
