frequency	V(inoise)	V(onoise)
2.137962089502209e+002	8.502108e-008	1.295622e-008
2.187761623949529e+002	8.502100e-008	1.295621e-008
2.238721138568316e+002	8.502093e-008	1.295620e-008
2.290867652767749e+002	8.502087e-008	1.295620e-008
2.344228815319897e+002	8.502080e-008	1.295619e-008
2.398832919019465e+002	8.502074e-008	1.295619e-008
2.454708915685004e+002	8.502068e-008	1.295618e-008
2.511886431509553e+002	8.502062e-008	1.295617e-008
2.570395782768836e+002	8.502057e-008	1.295617e-008
2.630267991895354e+002	8.502052e-008	1.295616e-008
2.691534803926887e+002	8.502047e-008	1.295615e-008
2.754228703338137e+002	8.502042e-008	1.295615e-008
2.818382931264423e+002	8.502037e-008	1.295614e-008
2.884031503126574e+002	8.502033e-008	1.295613e-008
2.951209226666354e+002	8.502029e-008	1.295613e-008
3.019951720401983e+002	8.502025e-008	1.295612e-008
3.090295432513557e+002	8.502022e-008	1.295611e-008
3.162277660168345e+002	8.502018e-008	1.295611e-008
3.235936569296247e+002	8.502015e-008	1.295610e-008
3.311311214825875e+002	8.502011e-008	1.295609e-008
3.388441561391988e+002	8.502008e-008	1.295609e-008
3.467368504525278e+002	8.502005e-008	1.295608e-008
3.548133892335715e+002	8.502003e-008	1.295607e-008
3.630780547700973e+002	8.502000e-008	1.295606e-008
3.715352290971684e+002	8.501997e-008	1.295606e-008
3.801893963205569e+002	8.501994e-008	1.295605e-008
3.890451449942762e+002	8.501992e-008	1.295604e-008
3.981071705534927e+002	8.501990e-008	1.295603e-008
4.073802778041081e+002	8.501988e-008	1.295602e-008
4.168693834703306e+002	8.501986e-008	1.295601e-008
4.265795188015877e+002	8.501983e-008	1.295601e-008
4.365158322401609e+002	8.501981e-008	1.295600e-008
4.466835921509579e+002	8.501980e-008	1.295599e-008
4.570881896148697e+002	8.501978e-008	1.295598e-008
4.677351412871927e+002	8.501976e-008	1.295597e-008
4.786300923226327e+002	8.501974e-008	1.295595e-008
4.897788193684405e+002	8.501973e-008	1.295594e-008
5.011872336272664e+002	8.501971e-008	1.295593e-008
5.128613839913588e+002	8.501970e-008	1.295592e-008
5.248074602497665e+002	8.501969e-008	1.295591e-008
5.370317963702464e+002	8.501967e-008	1.295589e-008
5.495408738576181e+002	8.501966e-008	1.295588e-008
