time	V(pwm)	V(tri)
5.131729406287113e-003	4.871816e+000	4.986372e-001
5.131747798558971e-003	4.871836e+000	4.994992e-001
5.131760859014380e-003	4.871850e+000	5.002051e-001
5.131774152490956e-003	4.871865e+000	5.009871e-001
5.131788959423895e-003	4.871881e+000	5.018559e-001
5.131796072079219e-003	4.871890e+000	5.022377e-001
5.131805717094493e-003	4.871900e+000	5.026962e-001
5.131814652236091e-003	4.871910e+000	5.030813e-001
5.131826753089716e-003	4.871923e+000	5.035715e-001
5.131839719675626e-003	4.871937e+000	5.040946e-001
5.131858291336477e-003	4.871958e+000	5.048639e-001
5.131878396185179e-003	4.871980e+000	5.057144e-001
5.131912959966092e-003	4.872017e+000	5.071775e-001
5.131946292622094e-003	4.872054e+000	5.085791e-001
5.133497761658655e-003	4.873737e+000	5.738111e-001
5.135049230695216e-003	4.875389e+000	6.390387e-001
5.136600699731778e-003	4.877010e+000	7.042620e-001
5.138152168768338e-003	4.878601e+000	7.694809e-001
5.139703637804899e-003	4.880162e+000	8.346955e-001
5.141255106841460e-003	4.881693e+000	8.999058e-001
5.142806575878021e-003	4.883193e+000	9.651117e-001
5.152572200878021e-003	4.891591e+000	1.375486e+000
5.158760861438595e-003	4.895464e+000	1.635448e+000
5.158779934924924e-003	4.895465e+000	1.636220e+000
5.158818081897580e-003	4.895448e+000	1.637790e+000
5.158894375842892e-003	4.895391e+000	1.641074e+000
5.159046963733517e-003	4.895265e+000	1.647525e+000
5.159962491077267e-003	4.893882e+000	1.685970e+000
5.161183194202267e-003	4.889263e+000	1.737240e+000
5.162527206374498e-003	4.877801e+000	1.793688e+000
5.163666263014207e-003	4.856364e+000	1.841527e+000
5.164541931326438e-003	4.821878e+000	1.878302e+000
5.165269443986703e-003	4.766865e+000	1.908855e+000
5.165844064412975e-003	4.687972e+000	1.932985e+000
5.166404886714847e-003	4.566294e+000	1.956538e+000
5.166705700985463e-003	4.477905e+000	1.969188e+000
5.166735985837018e-003	4.466132e+000	1.970451e+000
5.166796555540127e-003	4.433826e+000	1.972978e+000
5.166917694946344e-003	4.352440e+000	1.978077e+000
5.166937841930643e-003	4.335685e+000	1.978921e+000
5.166978135899240e-003	4.295394e+000	1.980607e+000
5.167058723836433e-003	4.207653e+000	1.983995e+000
5.167061242209470e-003	4.204702e+000	1.984101e+000
5.167061871802730e-003	4.203929e+000	1.984128e+000
5.167063130989249e-003	4.202382e+000	1.984180e+000
5.167063405011795e-003	4.202044e+000	1.984192e+000
5.167063412472144e-003	4.202035e+000	1.984192e+000
5.167063427392843e-003	4.202017e+000	1.984193e+000
5.167063457234240e-003	4.201980e+000	1.984194e+000
5.167063485908021e-003	4.201945e+000	1.984195e+000
5.167063513656546e-003	4.201910e+000	1.984196e+000
5.167063546715537e-003	4.201870e+000	1.984198e+000
5.167063610665734e-003	4.201791e+000	1.984200e+000
5.167063708323037e-003	4.201671e+000	1.984205e+000
5.167063847918444e-003	4.201499e+000	1.984210e+000
5.167064127109259e-003	4.201154e+000	1.984222e+000
5.167064685490889e-003	4.200464e+000	1.984246e+000
5.167065802254148e-003	4.199082e+000	1.984292e+000
5.167067808855141e-003	4.196589e+000	1.984376e+000
5.167071822057127e-003	4.191565e+000	1.984544e+000
5.167079115406201e-003	4.182360e+000	1.984849e+000
5.167080938743469e-003	4.180038e+000	1.984926e+000
5.167084585418006e-003	4.175362e+000	1.985078e+000
5.167085497086641e-003	4.174189e+000	1.985117e+000
5.167086152581505e-003	4.173343e+000	1.985144e+000
